analysis	cohort	sample	signal	width	jsd	tv	hellinger	oops_ap	zoops_ap	oops_conf	zoops_conf	zoops_fraction	oops_resampling	zoops_resampling
ctcf_initial	a549-encsr035oxa	5	100.0	19	0.0034987801231440518			0.7297452184011423	0.7440180621204306	7.077374731167296	7.180968522997579	0.832	0.10245548038639456	0.0023743008260314487
ctcf_initial	a549-encsr035oxa	6	0.0	19	0.4459092497863866			0.072469879590234	0.07562806189298804	5.25906200877209	6.528123853086703	0.164	0.10859903122944989	0.43645556016465487
ctcf_initial	a549-encsr035oxa	6	10.0	19	0.2002189516666771			0.07302624598044076	0.07341229379649115	4.595781263158384	6.408870756158554	0.157	0.10796745285170398	0.4205518120166999
ctcf_initial	a549-encsr035oxa	6	25.0	19	0.4504257013336031			0.07359741870805167	0.0756326729742011	3.5135921856758623	6.248199384325165	0.127	0.10834833628668787	0.010744921465146688
ctcf_initial	a549-encsr035oxa	6	50.0	19	0.4662527197388613			0.07511804849611974	0.07465707813867899	0.0	5.787902710645448	0.085	0.01240663049226452	0.01752737512266954
ctcf_initial	a549-encsr035oxa	6	75.0	19	0.1106888406001022			0.6842291068029821	0.7292442187879936	6.318108066075008	6.733760196680969	0.655	0.19456632081611389	0.25707669332589156
ctcf_initial	a549-encsr035oxa	6	100.0	19	0.004171398259562227			0.7261923876289722	0.7351681090961508	7.079791831311822	7.1744065155871155	0.834	0.19240221796661997	0.0029132471623197743
ctcf_initial	a549-encsr035oxa	7	0.0	19	0.4451268721982749			0.07275917037011449	0.07568037033776823	3.4162807848923094	6.384297742623981	0.149	0.10788958889812694	0.013699699285930976
ctcf_initial	a549-encsr035oxa	7	10.0	19	0.30647185901159374			0.07306602014124	0.07334525773142729	0.0	6.245885920646931	0.136	0.10939748602955561	0.5673004545612104
ctcf_initial	a549-encsr035oxa	7	25.0	19	0.39163749645643453			0.07383484612632733	0.07294394784374067	0.0	6.084166491978176	0.111	0.0059668797037780805	0.5623114646606526
ctcf_initial	a549-encsr035oxa	7	50.0	19	0.4426512671035285			0.619649573116312	0.07469918831212101	3.1233004514612364	5.716110328113272	0.082	0.12027552617629092	0.45674893321873766
ctcf_initial	a549-encsr035oxa	7	75.0	19	0.012731774274687677			0.6959194209611789	0.7226532965329601	6.303982016153995	6.718917520288253	0.636	0.18250585449103052	0.004743309878314143
ctcf_initial	a549-encsr035oxa	7	100.0	19	0.10345694787793036			0.7293174304623349	0.7296457082289667	7.048957555160268	7.160845906664299	0.845	0.10208911899007782	0.0026730534286546074
ctcf_initial	a549-encsr035oxa	8	0.0	19	0.323934058775357			0.0722311806384658	0.07530493356535065	5.221981691806162	6.423764295218146	0.145	0.19585395968501848	0.5507526372262321
ctcf_initial	a549-encsr035oxa	8	10.0	19	0.31724597003150484			0.07303604785399924	0.0754579849403941	4.710452054731716	6.347660454757125	0.138	0.19528743842929305	0.5463553449024369
ctcf_initial	a549-encsr035oxa	8	25.0	19	0.31664331387977995			0.07363030632002623	0.07567213594779666	0.0	6.199855371527265	0.121	0.196445362161585	0.5540946393212394
ctcf_initial	a549-encsr035oxa	8	50.0	19	0.38550103991883355			0.07576645287076883	0.07683374502419106	0.0	5.760799215470737	0.083	0.10803341326104605	0.5475258825733709
ctcf_initial	a549-encsr035oxa	8	75.0	19	0.2204296556365517			0.6739444570778726	0.7346653321798325	6.438019599574307	6.7570776562964925	0.646	0.2535047542673842	0.0032427955604749175
ctcf_initial	a549-encsr035oxa	8	100.0	19	0.0016903546186012714			0.7323418015582309	0.738878194887419	7.125995674769456	7.191432616782034	0.867	0.10214448509898048	0.0035123373632065537
ctcf_initial	a549-encsr035oxa	9	0.0	19	0.40148820821602793			0.07262997066993367	0.07618073863818818	5.16577933864365	6.319646713552886	0.127	0.01076776979360188	0.01062185809313442
ctcf_initial	a549-encsr035oxa	9	10.0	19	0.4077428352311423			0.07308428499136099	0.07647760045376732	4.688582318501185	6.2207304804829855	0.117	0.11216761009552172	0.01307291366591327
ctcf_initial	a549-encsr035oxa	9	25.0	19	0.4129383666327882			0.07333329445832028	0.07607464580706728	3.6285341908139377	6.080794953445436	0.105	0.11401613445366374	0.013289293182479426
ctcf_initial	a549-encsr035oxa	9	50.0	19	0.16772905480959416			0.07563133166138818	0.07776675639919856	0.0	5.679673754112452	0.21	0.10994484273735924	0.42282592559142407
ctcf_initial	a549-encsr035oxa	9	75.0	19	0.009572210943784786			0.6609667596847041	0.6823640397787062	6.374118994160285	6.673958784456412	0.673	0.17230646683511694	0.24335902175736446
ctcf_initial	a549-encsr035oxa	9	100.0	19	0.2294908201935557			0.6918549673463893	0.7256555443390875	7.012525959481487	7.1180162044653335	0.855	0.2093758960020935	0.0030443860788440173
ctcf_initial	a549-encsr035oxa	10	0.0	19	0.33578184603210903			0.07268009006704107	0.07575705056790545	5.032238418024473	6.483363421248491	0.157	0.11009833415659251	0.5568482246455856
ctcf_initial	a549-encsr035oxa	10	10.0	19	0.3908158097979572			0.07295557754333247	0.07564602698536309	4.739152345974526	6.3940940219316325	0.144	0.1106900445779569	0.560751544188717
ctcf_initial	a549-encsr035oxa	10	25.0	19	0.4617348658254388			0.07481165362347476	0.07573989573114531	3.4136775365299017	6.2503493422097645	0.128	0.1937557046169535	0.5537704779576353
ctcf_initial	a549-encsr035oxa	10	50.0	19	0.160235180524512			0.07564213133691813	0.07986093123952426	0.0	5.5861205691795215	0.278	0.01818883488232571	0.515537553237469
ctcf_initial	a549-encsr035oxa	10	75.0	19	0.011537939847946557			0.695840158395142	0.7342215621950197	6.4134880202974145	6.750862703612769	0.618	0.00281372087776893	0.0031804906294185488
ctcf_initial	a549-encsr035oxa	10	100.0	19	0.0026425537380510046			0.7234219986025022	0.7350336701845018	7.0955493563921435	7.165544093214622	0.832	0.0019996168546887066	0.002379555754144617
